"nid","title","field_tipo_da_impress_o","field_ano","field_numero","field_preced_ncia","field__rea","field_respons_vel","field_tiragem","field_originais","field_formato","field_entrada","field_material_1","field_pre_o_1","field_material_2","field_pre_o_2","field_material_3","field_pre_o_3","field_material_4","field_pre_o_4","field_material_5","field_pre_o_5","field_material_6","field_pre_o_6","field_material_7","field_pre_o_7","field_observa_o","field_fonte"
"12394","O ENSINO DO ITALIANO INSTRUMENTAL","","2011","12","HUMANITAS","ADMINISTRATIVA","HELENA","500","220","16 X 22","07/02/2011","4.300 FLS DE PAPEL OFF SET 75 GRS 66 X 96","R$ 860.00","70 CHAPAS OFF SET DUPLO OFICIO","R$420.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL :PRFª.ROSANE DE SÁ AMADO CENTRO DE LÍNGUAS</p>
",""
"12395","MANUAL DO CALOURO 2011 (HISTÓRIA)","","2011","13","CENTRO ACADÊMICO DE HISTÓRIA -CAHIS","ACADÊMICA","LEONARDO MARQUES NUNES","24","300","A4","11/02/2011","400 FLS DE PAPEL JORNAL 52 GRS 66X96","R$ 80.00","15CHAPAS DE ALUMINIO POSITIVA DUPLO OFICIO","R$90.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>FONTE PAGADORA DIRETORIA</p>
",""
"12396","III EPED CADERNOS ( DLCV)","","2011","14","DLCV","ACADÊMICA","Prof. Dra.Elis de Almeida Cardoso Caretta","200","158","A5","","310 FLS DE PAPEL OFF-SET 75GRS (200 BLOCOS)","R$ 62.00","1480 FLS DE PAPEL OFFSET 75GRS 66X96","R$296.00","80 FLS DE CARTÃO COLOR PLUS 180GRS 66X96","R$120.00","50 CHAPAS DE ALUMINIO POSITIVO DUPLO OFICIO","R$300.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSAVEL:PROF. Dra. Elis de Almeida Cardoso Caretta</p>
",""
"12397","ABEI JOURNAL","","2011","15","HUMANITAS","ADMINISTRATIVA","HELENA","200","120","21X28","","2250 FLS DE PAPEL SULFITE 75GRS 66X96","R$ 450.00","22 CHAPAS DE ALUMINIO 32,5X46,0","R$198.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>INTEGRAL PARA A ADMINISTRAÇÃO</p>
",""
"12398","O ITALIANO DOS ITALIANOS","","2011","16","HUMANITAS","ADMINISTRATIVA","LINGUA E CULTURA ITALIANA","500","256"," 14 X 21","","5.000 FLS DE PAPEL OFF SET 75 GRS 66 X96","R$ 1000.00","80 CHAPAS OFF SET DUPLO OFICIO","R$480.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: LÍNGUA E CULTURA ITALIANA 100% VERBA DE ÁREA (PROAP)</p>
",""
"12399","REVISTA FILOLOGIA Nº 12 PARTE I","","2011","17","HUMANITAS","ADMINISTRAÇÃO","HELENA","200","180"," 16 X 22","01/03/2011","1.700 FLS DE PAPEL OFF SET75 GRS 66 X 96","R$ 340.00","200 FLS DE CARTÃO 249 GRS 50 X 66","R$80.00","55 CHAPAS DE ALUMINIO DUPLO OFICIO OFF SET","R$330.00","PLASTIFICAÇÃO","R$45.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA ( INTEGRAL PARA ADMINISTRAÇÃO )</p>
",""
"12400","REVISTA FILOLOGIA Nº 12 PARTE II","","2011","18","HUMANITAS","ADMINISTRATIVA","HELENA","200","200"," 16 X 22","01/03/2011","2.070 FLS DE PAPEL OFF SET 75 GRS 66 X 96","R$ 414.00","200 FLS DE CARTÃO 249 GRS 50 X 66","R$80.00","70 CHAPAS DE ALUMINIO DUPLO OFICIO OFF SET","R$420.00","PLASTIFICAÇÃO","R$45.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL; HELENA ( INTEGRAL PARA ADMINISTRAÇÃO )</p>
",""
"12401","REVISTA ÁFRICA Nº 29/30","","2011","19","HUMANITAS","ADMINISTRATIVA","HELENA","400","288"," 16 X 22","01/03/2011","500 FLS DE CARTÃO 240 GRS 50 X 66","R$ 200.00","4.500 FLS DE PAPEL OFF SET 75 GRS 66 X 96","R$900.00","90 CHAPAS DE ALUMINIO DUPLO OFICIO","R$540.00","PLASTIFICAÇÃO","R$45.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: 50% VERBA DE ÁREA CENTRO ESTUDOS AFRICANOS VALOR: R$ 1.095.25<br />
50% ADM VALOR: 1.095.25</p>
",""
"12402","CONGRESSO INTERNACIONAL SOBRE MATÉRIA CAVALEIRESCA","","2011","20","DLCV","ADMINISTRATIVO","PRFª. DRª IEDA MARIA ALVES","200","124"," A 5","","1.200 FLS DE PAPEL OFF SET 75 GRS 66 X 96","R$ 240.00","75 FLS DE PAPEL VERGÊ 180 GRS  66 X 96","","47 CHAPAS OFF SET DUPLO OFICIO","R$282.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: PROFª.DRª IEDA MARIA ALVES ( DLCV )</p>
",""
"12403","A DIALÉTICA","","2011","21","HUMANITAS","ADMINISTRATIVA","HELENA","500","324"," 14 X 21","","6.328 FLS DE PAPEL OFF SET 75 GRS 66 X 96","","100 CHAPAS OFF SET DUPLO OFICIO","R$600.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA; ( INTEGRAL PARA  HUMANITAS  RECOLHIMENTO NA TESOURARIA)</p>
",""
"12404","REVISTA INSTITUTO PSICOLOGIA N º 22/1","","2011","22","INSTITUTO DE PSICOLOGIA","HUMANITA","PROFª .ANA LOFREDO","500","302","17,5 X 23","05/04/2011","11.800 FLS DE PAPEL OFF SET75 GRS 66 X 96","R$ 2360.00","250 FLS DE CARTÃO 66 X 96 CAPAS","R$175.00","95 CHAPAS POSITIVA OFF SET 72,4 X 61,5","R$855.00","LAMINAÇÃO FOSCA E VERNIZ","R$500.00","LASER FIME","R$900.00","Laminação fosca","","Plastificação brilhante","","<p>PAGO PELO INSTITUTO DE PSICOLOGIA POR TRANSPOSIÇÃO ORÇAMENTÁRIA RESPONSÁVEL PRFª.ANA LOFREDO ,REPASSAR PARA<br />
 HUMANITAS R$1.575,00 REFERENTE GASTOS COM LASER FILME,cartão, laminação.</p>
",""
